latitude,longitude,latitude_CBD,longitude_CBD,distance_to_CBD,rents per bedroom/week
51.40544,-0.15953,51.515243,-0.141953,12364.94174,$60.00 
51.56025,-0.05958,51.515243,-0.141953,10437.49649,$60.00 
51.53841,-0.04686,51.515243,-0.141953,10883.13788,$60.00 
51.51559,-0.05984,51.515243,-0.141953,9130.636271,$60.00 
51.51782,-0.22,51.515243,-0.141953,8683.165257,$60.00 
51.52554,-0.0723,51.515243,-0.141953,7829.239976,$60.00 
51.49279,-0.20973,51.515243,-0.141953,7939.238792,$60.00 
51.46273,-0.14175,51.515243,-0.141953,5839.208609,$60.00 
51.48546,-0.12623,51.515243,-0.141953,3744.871031,$60.00 
51.45084,-0.12378,51.515243,-0.141953,7440.918737,$61.00 
51.51551,-0.2146,51.515243,-0.141953,8078.037465,$61.00 
51.45531,-0.11668,51.515243,-0.141953,7232.526479,$62.50 
51.50322,-0.24664,51.515243,-0.141953,11717.1871,$63.00 
51.45685,-0.22406,51.515243,-0.141953,11203.27514,$63.00 
51.49995,-0.02624,51.515243,-0.141953,12978.59223,$65.00 
51.51568,-0.02109,51.515243,-0.141953,13439.4487,$65.00 
51.5585,-0.22631,51.515243,-0.141953,10541.40431,$65.00 
51.42254,-0.13921,51.515243,-0.141953,10312.59081,$65.00 
51.60133,-0.17248,51.515243,-0.141953,10156.43322,$65.00 
51.48542,-0.20716,51.515243,-0.141953,7973.039909,$65.00 
51.58316,-0.1219,51.515243,-0.141953,7874.318106,$65.00 
51.63546,-0.11726,51.515243,-0.141953,13646.58044,$66.00 
51.492,-0.09404,51.515243,-0.141953,5921.476703,$66.50 
51.5835,-0.11739,51.515243,-0.141953,8066.305668,$66.67 
51.418,-0.10084,51.515243,-0.141953,11739.60655,$66.67 
51.49521,-0.10013,51.515243,-0.141953,5156.479216,$67.00 
51.53023,-0.19886,51.515243,-0.141953,6543.534191,$67.00 
51.55586,-0.09366,51.515243,-0.141953,7016.703959,$67.00 
51.52731,-0.04472,51.515243,-0.141953,10894.76562,$67.00 
51.54599,-0.07426,51.515243,-0.141953,8267.195565,$67.50 
51.53238,-0.06578,51.515243,-0.141953,8681.760617,$68.00 
51.5536,-0.19216,51.515243,-0.141953,7025.540415,$68.50 
51.49259,-0.16505,51.515243,-0.141953,3597.335252,$69.00 
51.49519,-0.19242,51.515243,-0.141953,6038.4477,$69.00 
51.40269,-0.19177,51.515243,-0.141953,13686.36936,$69.00 
51.64561,-0.14412,51.515243,-0.141953,14498.11476,$69.00 
51.38132,-0.15591,51.515243,-0.141953,14972.16368,$69.00 
51.4433,-0.21349,51.515243,-0.141953,11281.36987,$69.00 
51.41976,-0.1631,51.515243,-0.141953,10874.46419,$69.00 
51.45427,-0.11964,51.515243,-0.141953,7219.596205,$69.00 
51.46089,-0.16106,51.515243,-0.141953,6406.320703,$69.00 
51.47776,-0.14939,51.515243,-0.141953,4249.154543,$70.00 
51.49748,-0.09651,51.515243,-0.141953,5425.346798,$70.00 
51.57034,-0.11096,51.515243,-0.141953,7029.277757,$70.00 
51.43693,-0.16283,51.515243,-0.141953,9012.095895,$70.00 
51.52448,-0.08769,51.515243,-0.141953,6120.570116,$70.00 
51.5153,-0.1349,51.515243,-0.141953,784.2839207,$72.00 
51.52245,-0.18275,51.515243,-0.141953,4606.66193,$72.00 
51.5382,-0.18906,51.515243,-0.141953,5826.965352,$72.00 
51.48434,-0.18729,51.515243,-0.141953,6100.977502,$72.00 
51.51323,-0.13279,51.515243,-0.141953,1043.17689,$72.50 
51.52373,-0.16381,51.515243,-0.141953,2607.177748,$75.00 
51.48796,-0.16898,51.515243,-0.141953,4270.2561,$75.00 
51.48993,-0.19718,51.515243,-0.141953,6755.278529,$75.00 
51.46299,-0.22336,51.515243,-0.141953,10756.31806,$75.00 
51.5653,-0.05008,51.515243,-0.141953,11633.75463,$75.00 
51.54689,-0.03509,51.515243,-0.141953,12392.74746,$75.00 
51.44057,-0.20387,51.515243,-0.141953,10786.31657,$75.00 
51.50667,-0.21517,51.515243,-0.141953,8196.982892,$75.00 
51.45937,-0.11521,51.515243,-0.141953,6887.780663,$75.00 
51.55065,-0.1682,51.515243,-0.141953,4900.849117,$75.00 
