weekly_rents_per_bedroom,latitude,longitude,distance_to_CBD,bedrooms
111,51.48364,-0.26736,14380.58864,1
60,51.52703,-0.04058,11348.11181,1
30,51.52801,-0.04198,11206.77707,1
48,51.55149,-0.0787,8106.400881,1
46,51.48249,-0.19929,7342.472273,2
37.5,51.55514,-0.05649,10487.57668,4
65,51.45954,-0.3234,21105.30805,2
44,51.54049,-0.09041,6381.944066,1
30,51.54929,-0.22403,9880.608951,1
71.5,51.48808,-0.19523,6649.664145,2
66,51.44259,-0.12949,8196.631002,1
95,51.53862,-0.0991,5427.935777,1
39,51.55817,-0.01114,15308.91757,1
61,51.45084,-0.12378,7440.918737,1
55,51.44773,-0.12252,7811.89431,1
28,51.53547,-0.05543,9880.325047,1
70,51.53529,-0.05659,9750.174073,1
60,51.50364,-0.22161,8950.931478,1
300,51.54342,-0.13848,3156.842243,1
153,51.55698,-0.07609,8670.29312,2
35,51.48593,-0.36729,25267.45252,1
35,51.42833,-0.34646,24708.49562,1
65,51.56047,-0.06469,9954.933558,1
34,51.52801,-0.05823,9417.196649,1
122,51.5389,-0.11298,4159.177759,1
30,51.50331,-0.24071,11061.15771,1
35,51.5033,-0.24057,11045.83661,1
44,51.48698,-0.36862,25399.40366,1
908,51.46107,-0.21945,10513.92991,1
85,51.5178,-0.2009,6560.775213,1
50,51.61599,0.04658,23769.38207,1
30,51.42577,-0.19877,11785.35455,1
51,51.4584,-0.10664,7441.033761,1
80,51.51813,0.01694,17671.02271,1
24,51.60536,-0.14502,10026.32905,1
12,51.39762,-0.1979,14483.15229,1
35,51.56054,-0.07686,8818.059897,4
80,51.45763,0.01153,18229.29596,1
56,51.53096,-0.06332,8916.543988,1
70,51.5441,-0.14007,3215.56851,1
140,51.54434,-0.13994,3243.164681,1
65,51.4879,-0.27038,14600.50741,1
150,51.59113,0.08057,26142.72427,1
28,51.51303,-0.03737,11631.70952,1
72,51.53883,-0.19502,6457.401452,1
52,51.50866,-0.01855,13741.30665,1
70,51.58127,-0.31343,20431.9999,1
28,51.58162,-0.01395,16033.17484,1
48,51.59708,-0.1054,9966.318714,1
100,51.61367,-0.16519,11245.41116,1
230,51.42869,-0.08399,11583.03664,1
28,51.57092,0.07648,25065.26087,1
49,51.52894,-0.21267,8009.513305,1
22,51.57034,-0.1461,6143.820181,1
85,51.4203,-0.23533,14807.43538,1
78,51.52145,-0.05234,9988.391339,1
90,51.50174,-0.08908,6067.91075,1
42,51.50742,-0.22735,9535.478912,1
54,51.47386,-0.16355,5190.519005,1
50,51.40943,0.0062,20244.11789,1
40,51.41138,-0.17918,12268.42509,1
50,51.53569,-0.0775,7518.844386,1
20,51.54131,0.00376,16459.7769,2
35,51.42433,-0.30966,21211.90505,1
57.5,51.41575,-0.23476,15128.98957,4
33,51.46479,-0.32628,21250.13641,1
42,51.52853,-0.19559,6144.436775,1
35,51.60877,0.0404,22788.16921,1
28,51.49343,0.01198,17287.57712,1
15,51.47641,-0.39549,28520.79921,1
58,51.49162,-0.1433,2631.018004,1
32,51.43263,-0.06485,12565.41425,1
48,51.48888,0.00457,16554.24161,1
95,51.49226,-0.14042,2561.265667,1
28,51.45512,-0.03789,13363.71496,1
12.5,51.4556,-0.04011,13123.49821,2
60,51.47273,-0.20289,8261.908317,1
48,51.44448,-0.19993,10172.16892,1
35,51.49954,0.08719,25539.31416,1
50,51.53164,-0.07,8205.931141,1
44.67,51.53919,-0.09011,6349.958718,3
200,51.56075,0.04069,20929.88522,1
40,51.54594,-0.13718,3454.357954,2
39,51.55473,-0.12151,4944.280741,1
26,51.50844,0.05878,22333.32004,1
17.5,51.45255,-0.05013,12363.09984,2
35,51.48152,-0.18193,5815.604398,1
40,51.46068,-0.18589,7789.643714,1
51.67,51.5273,-0.11032,3764.270732,3
60,51.47573,-0.20683,8446.63568,1
60,51.48127,-0.20149,7622.175574,1
100,51.48629,0.09358,26387.22353,1
200,51.54813,0.01027,17316.955,1
64,51.45468,-0.11875,7211.610986,1
48,51.54517,-0.03103,12775.10841,1
33,51.58084,-0.1042,8415.809439,1
180,51.49315,-0.01897,13894.00008,2
75.33,51.51778,-0.20991,7561.742241,3
44,51.52231,-0.09144,5671.495895,1
60,51.50133,-0.10996,3879.291931,1
97.5,51.48566,-0.18415,5730.299754,2
55,51.53001,-0.05372,9947.526002,2
60,51.40749,-0.00514,19364.6991,1
30,51.58274,-0.12719,7682.736407,2
95,51.53958,-0.07892,7513.234144,1
460,51.45728,-0.32257,21092.52245,1
20,51.59084,-0.02936,15079.98016,1
200,51.55039,-0.17041,5028.548951,1
45,51.5793,-0.07794,10069.72202,1
49,51.48781,-0.20448,7592.416533,2
75,51.5275,-0.06445,8725.051896,1
42,51.54762,-0.08385,7396.119532,1
55,51.41869,-0.16277,10982.86555,1
70,51.40649,-0.22979,15544.39369,1
48,51.54815,-0.36331,24884.27471,1
200,51.45967,-0.11233,7002.52076,1
53,51.55465,-0.05765,10347.6524,1
70,51.54554,-0.05919,9800.072083,1
49,51.60046,0.02989,21328.56609,1
115,51.37189,-0.10183,16552.70126,1
100,51.48553,0.09638,26706.5935,1
27,51.43451,-0.06481,12416.47933,1
37.5,51.42736,-0.1911,11196.38282,2
99,51.46216,-0.13707,5927.467715,1
50,51.44824,-0.10286,8625.786697,1
86,51.48904,-0.01928,13948.3307,1
70,51.55315,-0.29469,17498.81909,1
25,51.56908,-0.11513,6688.251199,2
30,51.52124,-0.11307,3280.14225,1
